"id","name","friends_count","screen_name","location","description","listed_count","followers_count","favourites_count","created_at","user_key","lang","verified","time_zone","statuses_count"
"100345056","#Ezekiel2517✨...",1055,"SCOTTGOHARD","still ⬆️Block⤵️Corner⬇️street","CELEBRITY TRAINER ✨#424W147th✨ #CrossfitCoach #NSCA #IRepresentIntellectualViolence...Robinson Cano,Ice T,Missy Elliott, #EaglesDontFlyInFlocks...",35,1053,2774,"Tue Dec 29 23:15:22 +0000 2009","scottgohard","en",false,"",31858
"247165706","B E C K S T E R✨",896,"Beckster319","Chicago, IL","Rebecca Lynn Hirschfeld Actress.Model.Writer.Amateur Race Car Driver. ~ Adorkable",30,650,7273,"Fri Feb 04 06:38:45 +0000 2011","beckster319","en",false,"Mountain Time (US & Canada)",6742
"249538861","Chris Osborne",154,"skatewake1994","","",1,44,227,"Wed Feb 09 07:38:44 +0000 2011","skatewake1994","en",false,"",843
"449689677","Рамзан Кадыров",7,"KadirovRussia","","Пародийный аккаунт. Озвучиваю то, что политикам не позволено протоколом",691,94773,0,"Thu Dec 29 11:31:09 +0000 2011","kadirovrussia","ru",false,"Moscow",10877
"471868887","Маргарита Саваж",8021,"MargoSavazh","Санкт-Петербург, Россия","Честь имею. Нагло врать не умею.",231,23305,1480,"Mon Jan 23 10:26:25 +0000 2012","margosavazh","ru",false,"Volgograd",18401
"1039581360","Dark Nally",40,"darknally","Amerika","uptodate news!!!!",16,22,0,"Thu Dec 27 13:06:58 +0000 2012","darknally","id",false,"Jakarta",22603
"1510488662","Laila Heats",2369,"lagonehoe","USA","How can you judge me when you don’t know me?",12,3080,3504,"Wed Jun 12 13:07:49 +0000 2013","lagonehoe","en",false,"Eastern Time (US & Canada)",2228
"1513801268","CC Jack",2700,"YouJustCtrlC","USA","ProBlack | Stoner | even jesus was stoned before receiving the throne | #BlackToLive | #BlackLivesMatter",10,2760,2744,"Thu Jun 13 16:07:23 +0000 2013","youjustctrlc","en",false,"Eastern Time (US & Canada)",2100
"1517678892","Mr Moran",758,"MrMoraan","Philadelphia, PA","I'm getting too cool for this social media shiz. That cynical bastard you hate to love.",15,879,2981,"Fri Jun 14 21:58:48 +0000 2013","mrmoraan","en",false,"Eastern Time (US & Canada)",2044
"1518857420","Jonathon Norwood",440,"NoJonathonNo","USA","Strive not to be a success but rather to be of value #blm #BforLife",8,789,2170,"Sat Jun 15 08:47:02 +0000 2013","nojonathonno","en",false,"Eastern Time (US & Canada)",2002
"1532863891","Harper H21",1626,"CharlesJHarper","ATL","if you don't like me-it's ok",21,1956,1850,"Thu Jun 20 04:49:04 +0000 2013","charlesjharper","en",false,"Eastern Time (US & Canada)",3300
