"name","friends_count","screen_name","location","description","listed_count","followers_count","favourites_count","id","created_at","user_key","lang","verified","time_zone","statuses_count"
"#Ezekiel2517✨...",1055,"SCOTTGOHARD","still ⬆️Block⤵️Corner⬇️street","CELEBRITY TRAINER ✨#424W147th✨ #CrossfitCoach #NSCA #IRepresentIntellectualViolence...Robinson Cano,Ice T,Missy Elliott, #EaglesDontFlyInFlocks...",35,1053,2774,"100345056","Tue Dec 29 23:15:22 +0000 2009","scottgohard","en",false,"",31858
"B E C K S T E R✨",896,"Beckster319","Chicago, IL","Rebecca Lynn Hirschfeld Actress.Model.Writer.Amateur Race Car Driver. ~ Adorkable",30,650,7273,"247165706","Fri Feb 04 06:38:45 +0000 2011","beckster319","en",false,"Mountain Time (US & Canada)",6742
"Chris Osborne",154,"skatewake1994","","",1,44,227,"249538861","Wed Feb 09 07:38:44 +0000 2011","skatewake1994","en",false,"",843
"Рамзан Кадыров",7,"KadirovRussia","","Пародийный аккаунт. Озвучиваю то, что политикам не позволено протоколом",691,94773,0,"449689677","Thu Dec 29 11:31:09 +0000 2011","kadirovrussia","ru",false,"Moscow",10877
"Маргарита Саваж",8021,"MargoSavazh","Санкт-Петербург, Россия","Честь имею. Нагло врать не умею.",231,23305,1480,"471868887","Mon Jan 23 10:26:25 +0000 2012","margosavazh","ru",false,"Volgograd",18401
"Dark Nally",40,"darknally","Amerika","uptodate news!!!!",16,22,0,"1039581360","Thu Dec 27 13:06:58 +0000 2012","darknally","id",false,"Jakarta",22603
"Laila Heats",2369,"lagonehoe","USA","How can you judge me when you don’t know me?",12,3080,3504,"1510488662","Wed Jun 12 13:07:49 +0000 2013","lagonehoe","en",false,"Eastern Time (US & Canada)",2228
"CC Jack",2700,"YouJustCtrlC","USA","ProBlack | Stoner | even jesus was stoned before receiving the throne | #BlackToLive | #BlackLivesMatter",10,2760,2744,"1513801268","Thu Jun 13 16:07:23 +0000 2013","youjustctrlc","en",false,"Eastern Time (US & Canada)",2100
"Mr Moran",758,"MrMoraan","Philadelphia, PA","I'm getting too cool for this social media shiz. That cynical bastard you hate to love.",15,879,2981,"1517678892","Fri Jun 14 21:58:48 +0000 2013","mrmoraan","en",false,"Eastern Time (US & Canada)",2044
"Jonathon Norwood",440,"NoJonathonNo","USA","Strive not to be a success but rather to be of value #blm #BforLife",8,789,2170,"1518857420","Sat Jun 15 08:47:02 +0000 2013","nojonathonno","en",false,"Eastern Time (US & Canada)",2002
"Harper H21",1626,"CharlesJHarper","ATL","if you don't like me-it's ok",21,1956,1850,"1532863891","Thu Jun 20 04:49:04 +0000 2013","charlesjharper","en",false,"Eastern Time (US & Canada)",3300
"Lara Pretty",1360,"PrettyLaraPlace","USA","Bitter Clinger #USAFVet #NRA #2A #bluestarmom #Crossfit #christian",24,1795,3555,"1533813962","Thu Jun 20 12:35:59 +0000 2013","prettylaraplace","en",false,"Eastern Time (US & Canada)",3342
"Jasiah Jenkins",393,"BigBoyJasiah","Chicago, IL","Visionary..... don't put me in a box.... Enigma... Unconditional Love. I'm the good guy. if u heard otherwise you been lied to",19,728,2342,"1584279696","Wed Jul 10 23:55:16 +0000 2013","bigboyjasiah","en",false,"Eastern Time (US & Canada)",1918
"Jeremy Roberts",898,"Jery_RobertsYo","USA","I think we can all agree that the 3 most powerful words of 2015 were “#BlackLivesMatter”",5,837,1836,"1594887416","Mon Jul 15 03:34:50 +0000 2013","jery_robertsyo","en",false,"Eastern Time (US & Canada)",1573
"Reuben Littlejohn",608,"LILJordamn","USA","young nigga just trying to make# also do music#",16,738,2251,"1612106972","Mon Jul 22 05:34:20 +0000 2013","liljordamn","en",false,"Eastern Time (US & Canada)",1899
"Pauline Gunn",1075,"PaulineTT","USA","I be trying to chill, I swear do, because I luh God. You'on luh God?
#NoChill #BlackLivesMatter",5,908,1983,"1617939218","Wed Jul 24 14:50:02 +0000 2013","paulinett","en",false,"Eastern Time (US & Canada)",1906
"Ramona Mcintosh",1138,"RamonasNails","USA","Mom, Global Nail Artist, Consultant, blah,blah, I do more than paint a nail",6,877,1992,"1620474397","Thu Jul 25 14:06:28 +0000 2013","ramonasnails","en",false,"Eastern Time (US & Canada)",1745
"Jeffrey Kahunas",1586,"JeffreyKahunas","","Honor God & Jesus & Your Parents Country, GOP, I Follow Back #tcot #RedNationRising #InGodWeTrust",18,1565,1090,"1623180199","Fri Jul 26 15:01:14 +0000 2013","jeffreykahunas","en",false,"Pacific Time (US & Canada)",2320
"Jason Scott",321,"JassScott","Chicago, IL","Bring the drama, playa. Give me all you got. Make your move. Shoot your best shot
#BLM Bitch",13,674,2004,"1627096807","Sun Jul 28 04:54:51 +0000 2013","jassscott","en",false,"Eastern Time (US & Canada)",1818
"Sherman Cannon",2487,"CannonSher","United States","Education costs money.  But then so does ignorance.",30,2854,10128,"1627699074","Sun Jul 28 11:51:53 +0000 2013","cannonsher","en",false,"Eastern Time (US & Canada)",10203
"Lovely Cass",2220,"cassishere","New York, USA","Fun-loving conservative sharing the truth that liberals can't handle. #TCOT",36,2121,4154,"1629828379","Mon Jul 29 07:59:27 +0000 2013","cassishere","en",false,"Eastern Time (US & Canada)",3831
"Carrie",2272,"CarrieThornthon","Alaska","Conservative Christian Momma. Political junkie. Happily married",23,2291,3930,"1647045721","Mon Aug 05 05:56:27 +0000 2013","carriethornthon","en",false,"Eastern Time (US & Canada)",3222
"Anthony Nelson",1164,"ImaPharrelFake","United States","Here to state my point of view, make you laugh and most importanly to stand up for and represent my people #BlackLivesMatter",16,853,2764,"1648012021","Mon Aug 05 14:58:13 +0000 2013","imapharrelfake","en",false,"Eastern Time (US & Canada)",1771
"Wesley Holmes",1351,"WesternWindWes","","Stand with God, Family, Constitution & 2A. On A Mission 2Save America. LIBS R BLOCKED
#WakeUpAmerica #tcot #GodBlessAmerica",29,1519,592,"1649144358","Tue Aug 06 01:49:24 +0000 2013","westernwindwes","en",false,"Pacific Time (US & Canada)",1232
